id,subscription_type,m_revenue,join_date,last_payment,country,age,gender,device_type,plan_duration
60,Premium,17,28-03-22,17-02-23,Canada,38,Female,Smart TV,1 Month
61,Premium,17,18-01-22,08-12-22,Italy,41,Male,Smartphone,1 Month
62,Standard,13,17-06-22,02-01-23,Brazil,30,Female,Smartphone,1 Month
63,Standard,15,29-10-22,27-06-23,United States,31,Female,Smartphone,1 Month
64,Standard,14,11-11-22,08-07-23,Spain,38,Female,Laptop,1 Month
65,Premium,16,05-11-22,11-03-23,Canada,27,Male,Smart TV,1 Month
66,Basic,12,18-11-21,30-07-22,Germany,41,Female,Tablet,1 Month
67,Premium,15,13-03-23,29-06-23,Australia,46,Male,Smart TV,1 Month
68,Premium,17,19-10-22,19-12-22,United States,33,Female,Laptop,1 Month
69,Premium,17,23-12-21,27-07-22,Canada,48,Female,Smart TV,1 Month
70,Premium,16,30-04-23,14-07-23,Canada,46,Male,Smart TV,1 Month
71,Standard,15,29-01-22,12-09-22,France,29,Female,Smart TV,1 Month
72,Standard,12,05-04-22,21-03-23,Mexico,26,Female,Smartphone,1 Month
73,Standard,11,18-01-22,13-09-22,United States,44,Male,Smart TV,1 Month
74,Standard,12,12-12-21,03-08-22,Spain,44,Female,Smartphone,1 Month
75,Premium,14,15-02-23,09-03-23,France,34,Male,Laptop,1 Month
76,Basic,12,18-02-22,26-12-22,United States,34,Male,Tablet,1 Month
77,Premium,15,09-01-22,14-07-22,France,48,Female,Laptop,1 Month
78,Basic,13,01-07-22,27-06-23,Canada,42,Male,Smartphone,1 Month
79,Basic,9,25-11-22,11-04-23,United States,51,Female,Laptop,1 Month
80,Standard,15,30-10-22,26-04-23,Australia,31,Male,Smartphone,1 Month
81,Premium,15,31-12-22,24-01-23,Italy,36,Female,Smartphone,1 Month
82,Basic,9,27-10-21,25-03-22,United Kingdom,29,Female,Smart TV,1 Month
83,Standard,14,18-11-21,07-02-22,Canada,26,Male,Tablet,1 Month
84,Standard,11,14-07-22,28-05-23,Spain,48,Female,Laptop,1 Month
85,Standard,12,19-07-22,12-12-22,Spain,37,Female,Tablet,1 Month
86,Premium,14,04-08-22,18-10-22,United States,42,Female,Laptop,1 Month
87,Standard,13,12-02-22,20-11-22,United Kingdom,44,Male,Laptop,1 Month
88,Premium,16,16-03-23,01-07-23,France,30,Female,Smart TV,1 Month
89,Basic,9,02-11-22,22-11-22,United States,28,Male,Laptop,1 Month
90,Standard,13,29-04-23,09-06-23,Australia,29,Male,Smartphone,1 Month
91,Standard,13,18-09-21,14-07-22,Mexico,26,Female,Tablet,1 Month
92,Standard,13,28-05-23,14-07-23,Germany,44,Male,Tablet,1 Month
93,Standard,11,07-12-22,02-01-23,Brazil,39,Male,Laptop,1 Month
94,Standard,13,17-01-22,28-09-22,United States,37,Male,Tablet,1 Month
95,Premium,16,30-04-22,05-08-22,Canada,34,Female,Smartphone,1 Month
96,Basic,10,16-12-22,20-06-23,Canada,37,Female,Tablet,1 Month
97,Basic,11,29-08-22,01-01-23,United Kingdom,30,Male,Laptop,1 Month
98,Basic,10,07-02-22,10-10-22,Germany,43,Male,Laptop,1 Month
99,Standard,12,15-12-21,31-03-22,France,29,Female,Tablet,1 Month
100,Premium,15,23-04-23,08-07-23,United States,27,Male,Smartphone,1 Month
101,Premium,18,23-04-22,06-10-22,Canada,40,Female,Tablet,1 Month
102,Basic,13,03-11-21,02-09-22,United States,36,Male,Smartphone,1 Month
103,Standard,12,01-05-22,19-09-22,United States,37,Male,Tablet,1 Month
104,Basic,10,26-09-21,06-04-22,Canada,36,Female,Smartphone,1 Month
105,Basic,11,28-12-22,20-02-23,United States,34,Female,Laptop,1 Month
106,Basic,12,14-04-23,05-07-23,Canada,42,Female,Laptop,1 Month
107,Premium,18,20-08-22,18-12-22,Mexico,35,Female,Tablet,1 Month
108,Standard,11,21-03-23,09-07-23,Spain,43,Female,Tablet,1 Month
109,Basic,12,22-09-21,27-04-22,United Kingdom,34,Male,Smartphone,1 Month
110,Standard,13,29-01-23,19-05-23,United Kingdom,40,Female,Laptop,1 Month
111,Basic,12,19-09-22,13-07-23,United States,49,Male,Tablet,1 Month
112,Premium,15,10-10-22,26-05-23,United Kingdom,40,Male,Laptop,1 Month
113,Premium,16,29-11-22,29-01-23,Spain,35,Male,Smart TV,1 Month
114,Basic,11,23-01-23,04-07-23,Germany,42,Male,Laptop,1 Month
115,Basic,9,02-01-22,07-05-22,United Kingdom,43,Male,Smart TV,1 Month
116,Premium,14,27-04-22,16-07-22,Spain,45,Female,Laptop,1 Month
117,Standard,12,16-12-22,15-07-23,Canada,41,Male,Smartphone,1 Month
118,Standard,15,14-03-22,24-01-23,France,28,Male,Smartphone,1 Month
119,Basic,12,23-11-22,06-03-23,Mexico,48,Male,Smart TV,1 Month
120,Premium,18,08-11-22,10-06-23,Germany,29,Female,Smartphone,1 Month
121,Basic,9,20-09-22,04-02-23,United Kingdom,37,Male,Laptop,1 Month
122,Standard,13,12-07-22,15-04-23,Spain,40,Female,Smart TV,1 Month
123,Basic,10,03-01-22,29-01-22,Spain,29,Male,Tablet,1 Month
124,Standard,15,11-01-23,05-07-23,France,50,Male,Smartphone,1 Month
125,Standard,13,01-10-21,22-11-21,Germany,32,Male,Smartphone,1 Month
126,Basic,12,04-04-23,09-07-23,Spain,34,Male,Smartphone,1 Month
127,Basic,13,22-05-23,26-06-23,United States,34,Female,Tablet,1 Month
128,Basic,13,23-05-23,23-06-23,United States,43,Female,Tablet,1 Month
129,Basic,13,26-02-22,21-11-22,Spain,45,Male,Smartphone,1 Month
130,Standard,11,28-05-22,22-04-23,Australia,28,Female,Smartphone,1 Month
131,Premium,16,11-10-21,06-08-22,United Kingdom,35,Female,Smart TV,1 Month
132,Premium,16,12-04-22,11-05-22,Spain,39,Female,Smart TV,1 Month
133,Premium,16,22-10-21,07-07-22,Canada,26,Male,Smartphone,1 Month
134,Premium,16,28-01-22,26-06-22,United States,28,Female,Smartphone,1 Month
135,Standard,11,07-01-22,04-12-22,Canada,39,Female,Smart TV,1 Month
136,Basic,11,12-10-22,14-11-22,United States,42,Female,Smart TV,1 Month
137,Premium,18,27-02-22,16-12-22,United Kingdom,40,Male,Laptop,1 Month
138,Basic,9,08-09-22,11-11-22,United States,51,Female,Laptop,1 Month
139,Premium,15,13-10-22,14-07-23,Germany,47,Male,Smartphone,1 Month
140,Standard,15,18-09-21,25-03-22,France,47,Female,Smartphone,1 Month
141,Basic,13,17-03-23,17-05-23,Canada,30,Female,Laptop,1 Month
142,Basic,12,27-10-22,27-12-22,Germany,27,Female,Tablet,1 Month
143,Standard,11,13-06-22,14-05-23,United States,45,Female,Smart TV,1 Month
144,Basic,13,07-09-21,27-05-22,United States,42,Female,Tablet,1 Month
145,Premium,18,25-04-22,10-11-22,Mexico,27,Male,Smart TV,1 Month
146,Basic,13,19-03-23,09-07-23,United States,36,Female,Laptop,1 Month
147,Premium,17,19-06-23,22-06-23,France,37,Female,Tablet,1 Month
148,Premium,14,30-03-23,15-07-23,Italy,51,Female,Laptop,1 Month
149,Premium,14,25-11-21,19-05-22,Spain,45,Female,Smart TV,1 Month
150,Standard,15,02-09-22,06-07-23,Spain,34,Male,Laptop,1 Month
151,Basic,13,25-08-22,25-06-23,Germany,48,Female,Smart TV,1 Month
152,Premium,16,17-02-22,31-01-23,Brazil,48,Female,Tablet,1 Month
153,Premium,15,06-10-22,14-07-23,Italy,26,Male,Smart TV,1 Month
154,Basic,10,23-01-22,12-04-22,Spain,48,Female,Smart TV,1 Month
155,Premium,17,16-05-22,05-11-22,Spain,42,Male,Smart TV,1 Month
156,Basic,10,22-10-22,07-05-23,United States,40,Female,Laptop,1 Month
157,Standard,12,28-05-22,07-01-23,United States,37,Female,Smartphone,1 Month
158,Standard,12,05-09-22,10-11-22,Spain,43,Female,Laptop,1 Month
159,Premium,14,04-03-23,25-05-23,Australia,40,Female,Tablet,1 Month
160,Standard,15,20-12-22,10-07-23,Australia,33,Male,Smart TV,1 Month
161,Standard,15,13-01-23,09-07-23,Italy,31,Female,Smartphone,1 Month
162,Basic,13,01-02-22,11-06-22,Brazil,33,Female,Smartphone,1 Month
163,Basic,11,07-04-22,20-11-22,Australia,39,Female,Tablet,1 Month
164,Basic,12,12-12-22,30-04-23,Italy,27,Male,Laptop,1 Month
165,Premium,18,15-08-22,14-04-23,Spain,49,Female,Smart TV,1 Month
166,Standard,15,30-08-22,24-12-22,Mexico,26,Male,Smartphone,1 Month
167,Basic,10,05-10-22,08-03-23,Spain,30,Male,Laptop,1 Month
168,Premium,15,20-02-23,01-07-23,Canada,44,Female,Tablet,1 Month
169,Standard,12,26-02-23,01-05-23,Australia,39,Female,Smartphone,1 Month
170,Standard,15,23-05-22,03-04-23,Canada,43,Male,Tablet,1 Month
171,Standard,11,19-01-22,30-07-22,Italy,40,Female,Tablet,1 Month
172,Basic,10,12-01-23,09-02-23,Canada,38,Female,Tablet,1 Month
173,Premium,17,26-04-23,26-06-23,United States,48,Female,Tablet,1 Month
174,Basic,10,06-04-22,06-05-22,Germany,26,Male,Smartphone,1 Month
175,Basic,10,07-08-22,12-09-22,Italy,40,Female,Smart TV,1 Month
176,Standard,11,12-05-23,15-07-23,Mexico,31,Female,Smart TV,1 Month
177,Basic,12,19-09-22,07-12-22,Australia,31,Female,Tablet,1 Month
178,Premium,16,17-09-21,28-03-22,Italy,26,Male,Tablet,1 Month
179,Premium,17,04-05-22,24-12-22,Spain,38,Female,Laptop,1 Month
180,Basic,10,13-11-22,30-06-23,Spain,36,Male,Smart TV,1 Month
181,Premium,14,22-10-22,12-07-23,France,36,Male,Laptop,1 Month
182,Premium,14,19-03-23,03-07-23,Germany,27,Female,Tablet,1 Month
183,Basic,10,28-03-22,27-07-22,France,34,Male,Laptop,1 Month
184,Premium,16,24-01-22,02-04-22,France,46,Female,Smartphone,1 Month
185,Premium,17,29-03-23,12-07-23,Spain,39,Male,Smartphone,1 Month
186,Standard,15,28-04-22,27-03-23,Spain,28,Female,Smart TV,1 Month
187,Premium,16,22-08-22,03-12-22,Australia,49,Female,Smart TV,1 Month
188,Premium,14,30-04-23,21-06-23,Australia,36,Female,Smartphone,1 Month
189,Premium,18,10-12-22,14-07-23,Spain,31,Female,Smart TV,1 Month
190,Standard,13,18-03-23,23-06-23,France,28,Male,Smartphone,1 Month
191,Standard,11,29-11-21,26-04-22,Spain,41,Female,Tablet,1 Month
192,Premium,14,22-02-23,23-06-23,Australia,42,Female,Smart TV,1 Month
193,Standard,14,04-04-22,17-02-23,Spain,30,Male,Smartphone,1 Month
194,Standard,13,07-03-23,29-05-23,Brazil,48,Male,Laptop,1 Month
195,Standard,13,09-12-21,18-07-22,Canada,48,Female,Tablet,1 Month
196,Standard,11,20-08-22,27-06-23,United States,40,Male,Smart TV,1 Month
197,Basic,12,05-05-23,03-07-23,Australia,33,Male,Laptop,1 Month
198,Premium,16,12-04-22,31-05-22,United States,50,Female,Smart TV,1 Month
199,Standard,15,14-02-22,06-04-22,Canada,44,Female,Smart TV,1 Month
200,Premium,15,22-01-23,13-03-23,Australia,32,Male,Tablet,1 Month
201,Standard,11,23-12-22,23-03-23,Canada,46,Male,Smart TV,1 Month
202,Premium,17,06-02-22,02-06-22,Australia,40,Male,Smartphone,1 Month
203,Premium,16,19-09-22,02-11-22,Australia,27,Male,Tablet,1 Month
204,Basic,10,01-05-22,17-07-22,Spain,47,Female,Smartphone,1 Month
205,Basic,9,12-02-23,01-07-23,Italy,46,Male,Smartphone,1 Month
206,Premium,17,01-09-21,25-11-21,United States,51,Female,Laptop,1 Month
207,Premium,16,06-10-21,22-11-21,Canada,49,Female,Laptop,1 Month
208,Premium,17,27-02-22,08-12-22,Canada,43,Male,Smartphone,1 Month
209,Basic,9,18-09-21,11-09-22,France,39,Male,Laptop,1 Month
210,Basic,11,27-01-22,21-03-22,France,42,Male,Laptop,1 Month
211,Premium,17,23-04-23,03-07-23,France,40,Female,Laptop,1 Month
212,Basic,9,11-02-23,08-06-23,Italy,41,Male,Smartphone,1 Month
213,Premium,14,23-12-22,23-04-23,Brazil,40,Male,Smartphone,1 Month
214,Standard,12,13-07-22,13-09-22,Australia,40,Female,Smart TV,1 Month
215,Basic,11,22-11-21,07-04-22,Australia,44,Male,Smart TV,1 Month
216,Standard,13,04-03-23,25-05-23,United Kingdom,46,Female,Tablet,1 Month
217,Standard,14,22-11-21,22-12-21,United States,49,Male,Smartphone,1 Month
218,Premium,18,12-04-23,03-07-23,United Kingdom,36,Female,Laptop,1 Month
219,Basic,10,26-06-22,14-02-23,Spain,40,Female,Tablet,1 Month
220,Standard,15,22-03-22,17-12-22,United States,49,Female,Tablet,1 Month
221,Standard,11,23-04-23,10-07-23,United Kingdom,49,Male,Tablet,1 Month
222,Premium,17,06-12-22,29-01-23,Spain,47,Male,Smart TV,1 Month
223,Basic,11,11-03-23,07-07-23,Spain,44,Male,Tablet,1 Month
224,Basic,13,28-01-22,17-03-22,Canada,34,Female,Tablet,1 Month
225,Basic,9,09-09-21,20-02-22,Germany,48,Female,Smartphone,1 Month
226,Standard,12,09-03-23,11-07-23,France,26,Male,Tablet,1 Month
227,Basic,9,20-02-23,23-06-23,Canada,38,Male,Smartphone,1 Month
228,Basic,9,16-11-22,20-04-23,Spain,40,Female,Tablet,1 Month
229,Premium,18,07-04-22,05-05-22,Spain,36,Male,Tablet,1 Month
230,Premium,18,11-01-23,10-07-23,Brazil,47,Female,Smartphone,1 Month
231,Standard,11,27-06-22,14-11-22,France,37,Female,Tablet,1 Month
232,Basic,10,31-10-21,21-08-22,United States,33,Male,Laptop,1 Month
233,Basic,12,19-01-23,23-06-23,United Kingdom,47,Male,Laptop,1 Month
234,Basic,10,06-07-22,23-03-23,United Kingdom,27,Male,Smart TV,1 Month
235,Basic,10,01-04-23,07-07-23,Germany,37,Female,Tablet,1 Month
236,Premium,15,11-05-23,10-07-23,United States,46,Female,Tablet,1 Month
237,Premium,15,02-11-22,31-12-22,France,32,Female,Laptop,1 Month
238,Standard,13,03-11-22,14-02-23,Canada,49,Female,Laptop,1 Month
239,Premium,14,14-11-21,02-07-22,United States,35,Female,Smartphone,1 Month
240,Standard,15,24-02-22,07-05-22,United States,33,Female,Tablet,1 Month
241,Standard,12,17-04-23,28-06-23,Australia,36,Female,Smartphone,1 Month
242,Premium,15,26-03-23,22-06-23,Brazil,44,Female,Tablet,1 Month
243,Premium,16,05-08-22,21-06-23,Mexico,41,Female,Smart TV,1 Month
244,Standard,12,06-02-23,28-06-23,Spain,40,Male,Laptop,1 Month
245,Premium,14,23-02-23,02-07-23,Australia,49,Female,Laptop,1 Month
246,Standard,12,04-09-21,06-08-22,Spain,33,Male,Laptop,1 Month
247,Standard,11,01-02-22,06-09-22,Canada,31,Male,Smart TV,1 Month
248,Premium,17,07-02-23,17-06-23,Germany,41,Female,Smartphone,1 Month
249,Premium,18,19-08-22,25-06-23,United States,43,Male,Smart TV,1 Month
250,Basic,12,23-10-22,07-07-23,United States,50,Female,Smart TV,1 Month
251,Basic,11,07-06-23,06-07-23,Brazil,47,Male,Smart TV,1 Month
252,Basic,11,20-02-22,29-09-22,Spain,50,Male,Smartphone,1 Month
253,Premium,16,17-03-22,13-02-23,United Kingdom,47,Female,Tablet,1 Month
254,Premium,18,07-01-23,20-05-23,United States,41,Male,Laptop,1 Month
255,Standard,11,06-01-23,27-06-23,United States,33,Male,Smartphone,1 Month
256,Standard,12,15-01-23,29-05-23,Australia,34,Female,Tablet,1 Month
257,Premium,17,08-10-21,21-08-22,Germany,36,Male,Smart TV,1 Month
258,Basic,12,17-06-22,14-08-22,Australia,37,Male,Smartphone,1 Month
259,Standard,14,18-10-21,29-01-22,United States,50,Male,Smart TV,1 Month
260,Basic,13,17-09-22,17-04-23,Canada,45,Male,Laptop,1 Month
261,Basic,13,12-05-22,07-08-22,Germany,40,Male,Laptop,1 Month
262,Basic,10,27-03-23,28-05-23,United States,40,Female,Tablet,1 Month
263,Standard,13,08-09-22,04-12-22,Italy,40,Male,Tablet,1 Month
264,Premium,18,15-06-22,07-10-22,Canada,27,Female,Laptop,1 Month
265,Standard,13,13-01-23,18-02-23,United States,50,Male,Smartphone,1 Month
266,Standard,11,09-12-21,28-01-22,United States,48,Male,Smartphone,1 Month
267,Premium,16,13-10-22,07-07-23,United States,36,Female,Smart TV,1 Month
268,Premium,16,02-05-22,02-08-22,United States,42,Female,Laptop,1 Month
269,Standard,14,08-12-22,11-06-23,Spain,49,Male,Smart TV,1 Month
270,Premium,17,11-09-21,10-11-21,Mexico,38,Male,Smart TV,1 Month
271,Premium,17,18-04-22,05-02-23,Canada,51,Female,Smart TV,1 Month
272,Basic,13,04-09-21,21-05-22,Spain,29,Female,Smart TV,1 Month
273,Basic,11,19-03-22,23-09-22,Canada,50,Male,Smart TV,1 Month
274,Standard,11,25-01-22,09-11-22,Spain,40,Female,Smart TV,1 Month
275,Basic,12,14-07-22,12-10-22,United States,34,Male,Smart TV,1 Month
276,Standard,12,11-10-21,05-10-22,United Kingdom,51,Male,Laptop,1 Month
277,Premium,18,20-05-22,19-06-22,Australia,46,Female,Tablet,1 Month
278,Basic,11,15-02-23,04-07-23,Canada,47,Female,Smart TV,1 Month
279,Standard,14,20-02-22,09-06-22,Spain,45,Female,Smartphone,1 Month
280,Standard,11,19-01-22,26-11-22,United Kingdom,34,Male,Laptop,1 Month
281,Standard,13,15-08-22,07-04-23,Italy,37,Female,Tablet,1 Month
282,Premium,17,23-03-23,26-06-23,Germany,35,Female,Tablet,1 Month
283,Standard,13,04-10-21,17-02-22,France,28,Female,Smartphone,1 Month
284,Premium,14,25-09-22,18-05-23,Spain,30,Male,Laptop,1 Month
285,Premium,17,06-09-22,10-07-23,Australia,39,Female,Smart TV,1 Month
286,Standard,14,11-02-23,05-07-23,Brazil,31,Female,Smartphone,1 Month
287,Standard,11,24-08-22,16-05-23,Australia,39,Male,Tablet,1 Month
288,Standard,13,18-12-22,09-07-23,United States,27,Female,Smart TV,1 Month
289,Premium,14,06-03-23,24-06-23,Italy,48,Male,Tablet,1 Month
290,Premium,16,04-06-22,22-09-22,Mexico,49,Female,Smartphone,1 Month
291,Premium,14,27-10-21,23-08-22,Spain,29,Female,Smart TV,1 Month
292,Standard,13,21-03-23,11-07-23,Italy,30,Male,Laptop,1 Month
293,Premium,17,02-04-23,28-06-23,United Kingdom,32,Male,Laptop,1 Month
294,Standard,13,18-01-23,09-03-23,France,41,Male,Smartphone,1 Month
295,Basic,9,15-05-23,15-07-23,Mexico,40,Female,Smart TV,1 Month
296,Premium,17,27-10-21,05-02-22,Mexico,38,Female,Tablet,1 Month
297,Standard,15,11-04-22,07-05-22,United States,47,Male,Tablet,1 Month
298,Premium,14,22-02-23,07-07-23,Germany,30,Male,Tablet,1 Month
299,Standard,12,15-12-22,15-05-23,United States,27,Female,Smart TV,1 Month
300,Premium,18,24-09-21,07-03-22,United States,26,Female,Smart TV,1 Month
301,Standard,14,30-04-23,26-06-23,Germany,37,Female,Smart TV,1 Month
302,Standard,11,12-09-22,24-01-23,Germany,43,Female,Laptop,1 Month
303,Basic,10,13-09-22,26-06-23,United States,48,Female,Smartphone,1 Month
304,Standard,12,15-04-23,02-07-23,Canada,34,Male,Smart TV,1 Month
305,Standard,13,01-06-22,07-10-22,Italy,41,Male,Smartphone,1 Month
306,Premium,15,02-12-21,27-01-22,Canada,49,Male,Tablet,1 Month
307,Premium,18,05-03-23,25-04-23,Brazil,44,Female,Tablet,1 Month
308,Basic,10,11-12-22,28-03-23,France,49,Male,Smartphone,1 Month
309,Standard,12,04-05-22,01-04-23,Spain,47,Male,Laptop,1 Month
310,Standard,15,14-08-22,16-10-22,Germany,44,Female,Tablet,1 Month
311,Premium,15,05-10-22,21-03-23,Spain,33,Male,Tablet,1 Month
312,Basic,9,14-02-22,31-03-22,Mexico,40,Male,Smart TV,1 Month
313,Basic,9,06-12-21,19-05-22,Brazil,28,Male,Smart TV,1 Month
314,Premium,18,26-03-22,11-09-22,Canada,32,Male,Tablet,1 Month
315,Premium,15,23-11-21,15-11-22,Canada,26,Male,Smartphone,1 Month
316,Basic,10,14-02-22,18-12-22,France,48,Male,Laptop,1 Month
317,Premium,14,10-12-22,16-02-23,Spain,41,Female,Laptop,1 Month
318,Basic,10,12-05-23,11-07-23,Spain,37,Female,Smart TV,1 Month
319,Basic,9,23-06-22,07-04-23,Spain,49,Female,Laptop,1 Month
320,Standard,14,26-08-22,20-05-23,Australia,40,Male,Smart TV,1 Month
321,Premium,16,10-11-21,01-10-22,Germany,48,Male,Smartphone,1 Month
322,Premium,16,25-04-22,10-02-23,France,50,Female,Laptop,1 Month
323,Premium,18,19-09-22,26-12-22,Spain,45,Female,Laptop,1 Month
324,Standard,14,09-09-22,30-09-22,Brazil,36,Male,Smart TV,1 Month
325,Basic,9,19-02-22,21-11-22,Spain,41,Male,Tablet,1 Month
326,Standard,11,30-12-22,16-02-23,Spain,49,Male,Tablet,1 Month
327,Premium,18,26-02-22,19-09-22,United Kingdom,44,Male,Smart TV,1 Month
328,Premium,16,13-10-21,21-05-22,United States,34,Female,Smart TV,1 Month
329,Premium,14,08-02-23,28-05-23,Australia,38,Female,Tablet,1 Month
330,Standard,14,13-04-23,15-07-23,United States,48,Female,Laptop,1 Month
331,Premium,16,06-11-21,03-06-22,Germany,36,Female,Smartphone,1 Month
332,Premium,14,01-07-22,28-05-23,United States,36,Female,Smart TV,1 Month
333,Standard,12,13-10-21,16-03-22,United Kingdom,47,Female,Tablet,1 Month
334,Standard,11,03-10-22,04-06-23,Mexico,40,Male,Laptop,1 Month
335,Premium,15,04-06-22,22-11-22,France,41,Male,Laptop,1 Month
336,Premium,16,14-12-21,23-06-22,United Kingdom,49,Female,Laptop,1 Month
337,Premium,15,29-03-22,27-02-23,Australia,49,Female,Smart TV,1 Month
338,Standard,14,11-06-22,15-11-22,Brazil,33,Male,Laptop,1 Month
339,Standard,11,17-05-23,06-07-23,Germany,27,Female,Smart TV,1 Month
340,Standard,11,26-10-21,28-11-21,Germany,26,Female,Laptop,1 Month
341,Basic,10,12-04-22,22-03-23,Spain,40,Male,Tablet,1 Month
342,Standard,14,19-10-21,01-07-22,Spain,31,Female,Smart TV,1 Month
343,Standard,13,30-04-23,18-06-23,France,35,Male,Tablet,1 Month
344,Premium,14,11-12-22,13-07-23,France,43,Male,Tablet,1 Month
345,Premium,15,03-03-22,04-05-22,Mexico,38,Female,Smart TV,1 Month
346,Basic,10,06-09-21,15-01-22,United States,47,Female,Laptop,1 Month
347,Standard,12,26-10-22,06-05-23,Australia,30,Female,Smart TV,1 Month
348,Premium,18,09-01-23,20-06-23,United States,47,Female,Smart TV,1 Month
349,Premium,16,07-04-22,27-03-23,Canada,48,Male,Tablet,1 Month
350,Basic,12,26-09-21,24-03-22,Canada,35,Female,Tablet,1 Month
351,Basic,12,08-02-23,08-05-23,Spain,36,Male,Smart TV,1 Month
352,Standard,13,22-10-22,14-02-23,France,41,Male,Tablet,1 Month
